股票代码,股票简称,业绩预告日期[20240630],业绩变化原因[20240630]
688351.SH,微电生理,20240705,　　报告期内，公司持续深耕心脏电生理领域，坚定全球化战略，聚焦“冰与火”系列优势产品，全力进军房颤市场，引领国产电生理手术解决方案的全面推进。公司产品结构进一步优化，TrueForce®压力监测射频消融导管、IceMagic®冷冻消融系列产品、FireMagic®微电极射频消融导管等高值耗材销售占比大幅提升，进一步提高了公司在电生理市场的竞争力。海外市场方面，公司持续推进电生理手术解决方案品牌影响力，提升渗透率，持续推动全球范围内与区域优质客户的合作，推进TrueForce®压力监测射频消融导管在欧洲等国家的市场准入和推广工作。本报告期，公司主营业务发展态势良好，上半年整体销量实现快速增长，带动公司净利润同比大幅提升。
002021.SZ,中捷资源,20240705,　　本报告期归属于上市公司股东的净利润较上年同期实现扭亏为盈的主要原因为本报告期公司主营业务实施主体全资子公司浙江中捷缝纫科技有限公司缝纫机业务销售收入较上年同期增长所致，除此之外，公司财务费用支出下降、营业外支出的减少以及其他收益的增加等因素共同积极影响了公司归属于上市公司股东的净利润。
600235.SH,民丰特纸,20240705,"　　（一）主营业务影响。1、报告期内，公司坚持生产经营、项目建设两手抓两手硬，确保了公司整体运营稳定。2、公司通过外控采购成本，内控生产消耗，主要原辅材料木浆以及煤炭领用成本同比均有所下降，确保营业成本同比下降。3、公司2023年被认定为先进制造业企业，根据加计抵减政策，公司2023年全年累计（以及2024年当期）可抵扣进项税额加计5%抵减增值税应纳税额计入本期其他收益，造成营业利润上升
　　（二）会计处理的影响。会计处理对公司业绩预增没有重大影响。
　　（三）上年比较基数较小。"
603727.SH,博迈科,20240705,"　　2024年上半年，全球经济仍在动荡中前行，地缘政治等因素持续影响国际能源市场格局。在多方博弈下，国际原油价格保持在相对高位，众多能源市场项目加速推进。为了在严酷激烈的市场竞争中保持优势，公司扎实推进“四个一流”发展战略，着力提升公司核心竞争能力。报告期内，公司执行的UARUFPSO项目高速推进，超进度完成阶段性目标，公司的优异表现赢得了客户的高度赞扬；海上平台生活楼模块建造项目以及FPSORAIATopside项目顺利开工，生产建造步入正轨。
　　报告期内，公司营业收入与去年同期相比有较大幅度增长，持续优化的生产工艺流程，使公司盈利能力持续提升。在公司全体努力下经营业绩大幅提高，2024年上半年扭亏为盈。后续，公司将持续开展生产、管理能力提升工作，促进公司经营业绩的稳定增长。"
600075.SH,新疆天业,20240705,"　　经初步测算，公司2024年1-6月归属于母公司所有者的净利润扭亏为盈的主要原因如下：
　　（一）报告期内，煤炭、焦炭等主要原材料采购价格下降幅度较大；同时，公司持续推行精细化管理，一体化产业联动式循环经济产业链降本增效成果显著，有效地控制了产品制造成本和各项费用。
　　（二）根据2023年9月3日财政部、税务总局发的2023年第43号《关于先进制造业企业增值税加计抵减政策的公告》，自2023年1月1日至2027年12月31日，允许先进制造业企业按照当期可抵扣进项税额加计5%抵减应纳增值税税额，公司报告期内享受增值税加计抵减额同比增加，导致其他收益增加。
　　（三）报告期内，因库存商品成本下降，影响存货跌价准备计提减少，导致计提资产减值损失较上年同期减少。
　　（四）公司主要联营企业报告期内盈利，确认投资收益较上年同期增加。"
300049.SZ,福瑞股份,20240705,"　　报告期内，公司业绩变动的主要原因：
　　一是公司积极把握代谢功能障碍相关的脂肪性肝炎（MASH）领域的发展机遇，以MAFLD/MASH的诊断和治疗为中心，不断提升全球范围内Fibroscan应用需求，器械业务收入利润保持持续增长；
　　二是公司作为肝病领域的先行者，以“让每个家庭远离肝癌”为使命，坚持“肝癌高危人群筛查新路径、二级预防新策略、中医药优势品种按效果价值付费新方向”为核心的“筛、评、管、治”的管理式医疗模式。肝病药品业务实现销售收入与利润的双增长。
　　报告期内，公司2024年限制性股票激励计划计提股份支付费用约518万元，剔除该部分费用影响后，公司归属于上市公司股东的净利润约为8,500万元至9,500万元。"
603025.SH,大豪科技,20240705,"　　（一）主营业务影响1、行业上行回暖，公司敏锐洞察市场趋势，持续增强产品竞争优势和品牌影响力，2024年上半年公司业绩延续了快速增长势头根据国家统计局数据显示，2024年1-5月，纺织服装、服饰业固定资产投资额同比增长14.8%；海关总署统计数据显示，2024年1-5月我国缝制机械产品的累计出口额达到了12.99亿美元，同比上涨了4.99%，5月累计出口额3.02亿美元，同比增长23.72%。在出口和内销需求的双重驱动下，缝制、针织机械行业显现上行趋势。2024年上半年，公司紧抓市场时机，加大产品创新和市场推广力度，夯实了公司产品行业领军企业的地位，公司智能数控系统及智能工厂业务板块合计收入增长同比超过50%。
　　2、行业生产模式、产品迭代升级也为公司业绩增长带来契机行业产品自动化、智能化水平不断提升，新工艺、新技术、更高的生产效率，带来下游工厂换机需求。公司提供的行业高附加值产品受到更多的欢迎，同时公司产品也在快速迭代升级。基于新平台研发的MateA8及A9系列高端刺绣机电控系统，带动行业产品创新，受到海内外用户欢迎，市场销售占比显著提升。新的特种绣工艺逐步成熟，拉动刺绣机电控换机需求。模板机、花样机电控丰富产品机型更好地适应市场应用。在针织机械的升级换代新产品全成型横机和缝头一体机电控产品上，公司占领市场先机，处于有利的市场地位。
　　公司智能工厂解决方案，帮助终端制造工厂用户提升生产和管理效率，自动换底线产品完全取代人工操作，助力行业转型升级，2024年上半年智能工厂业务版块业绩成果继续扩大。
　　小批量生产打造快速敏捷的市场适应性、个性化、多样性成为新兴市场模式，多功能高效单头刺绣机电控系统应用AI视觉等技术，实现照片绣等所见即所得功能，满足消费者个性化、定制化服饰需求，同时也可以满足家庭化小型服装加工所需，该系列电控产品销量实现快速增长。
　　3、大力加强海外服务网络布局为更好地助力中国缝制设备全球化战略和国际竞争力，公司设立了8家海外办事处，在印度、巴基斯坦、越南、孟加拉等亚洲市场积极扩建服务网络，更将触角延伸至土耳其、阿尔及利亚、阿联酋等新兴市场，积极推广新产品并提供全面的售后技术支持，进一步提升海外市场对配备公司电控产品的中国缝制设备需求。"
002722.SZ,物产金轮,20240705,"　　1、公司持续优化产品结构，高端产品的销售占比进一步提高，推动净利润增长；
　　2、公司积极拓展海外市场，聚焦目标市场，创新业务模式，出口业务营业收入和利润实现增长；
　　3、公司经营管理方面提质增效措施成效进一步显现，通过期货套期保值、库存优化等风险管理措施，降低了原材料价格波动对利润的影响，同时，有效管控财务、管理等费用，助力净利润提升。"
600236.SH,桂冠电力,20240705,　　本报告期归属于上市公司股东的净利润较上年同期有所增加，主要受来水量影响，2024年上半年公司发电量同比增长。公司骨干电厂所在的红水河流域，来水同比增长较多，发电量同比增长。公司位于贵州、四川、云南的水电站也因所在区域来水同比有所增长，发电量相应增加长。
001208.SZ,华菱线缆,20240705,　　受益于特种线缆研发技术积淀、国家设备更新及先进制造业政策支持，公司在航空航天及融合装备、冶金矿山、轨道交通等领域业务规模较去年同期均得到提升，目前在手订单充足，净利润增长明显。
